year,project_ar,project_en,category,type,role,platform_client,prize,frame_count
2024,أخ,Brother / Akh,Feature Film,Feature Film,Director,Netflix,أفضل ممثل و أفضل مخرج سينمائي في مهرجان الخليج السينمائي ٢٠٢٥,28
2025,الفاشينستا,Al Fashionista,Series / Drama,Series,Executive Producer,OSN,,3
2022,حوبتي,Hobti,Series / Drama,Series,Director,Shahid,,4
2008,عائلتي,Aelati,Series / Drama,Series,Director,Fenoon / MBC,,2
2021-2025,آيه و حكايه (مشاري العفاسي),Ayah Wa Hekaya - Mishary Alafasy,TV Shows / Programs,TV Show,Director / Executive Producer,KTV,,1
2025-2026,الميدان مع حمدان,Al Midan Maa Hamdan,TV Shows / Programs,TV Show,Director,KTV,,1
2023,مع بوشعيل (٢),Maa Bu Shail 2,TV Shows / Programs,TV Show,Director,Alrai TV,,0
2022,مقامات,Maqamat,TV Shows / Programs,TV Show,Director,Shahid,,0
2024,رفاه,Rafah,TV Shows / Programs,TV Show,Director,Alrai TV,,0
2014,المستشفى الأمريكاني,Al Mustashfa Al Amrikani,Documentary / Docudrama,Docudrama Film,Director,KTV,,9
2017,اوفيه,Awfiyah,Documentary / Docudrama,Docudrama Film,Director / Producer,,,0
2015,مدن عربيه (ينبع),Arab Cities - Yanbu,Documentary / Docudrama,Documentary Film,Director,,,0
2022,دراية,Draya,TVC / Advertising Campaigns,Advertising Campaign,Director / Producer,,,4
2021,Porsche macan (KW),Porsche Macan KW,TVC / Advertising Campaigns,TVC,Director,Porsche,,9
2023,Domino's Pizza Ramadan,Domino's Pizza Ramadan,TVC / Advertising Campaigns,TVC,Director,Domino's Pizza,,1
2021,WOLF National Day,WOLF National Day,TVC / Advertising Campaigns,TVC,Director / Producer,WOLF,,10
2022,NBK Family,NBK Family,TVC / Advertising Campaigns,TVC,Director,NBK,,5
2022,Porsche Women’s Day,Porsche Women's Day,TVC / Advertising Campaigns,TVC,Director,Porsche,,0
2023,Toyota Women’s Day,Toyota Women's Day,TVC / Advertising Campaigns,TVC,Director,Toyota,,0
2018,Carriage,Carriage,TVC / Advertising Campaigns,TVC,Director,Carriage,,0
2019,Farooj Republic,Farooj Republic,TVC / Advertising Campaigns,TVC,Director / Producer,Farooj Republic,,3
2021,Kia,Kia,TVC / Advertising Campaigns,TVC,Director,Kia,,0
2021,Sunkist,Sunkist,TVC / Advertising Campaigns,TVC,Director,Sunkist,,0
2021,Changan,Changan,TVC / Advertising Campaigns,TVC,Director,Changan,,0
2022,Hessah Gardens,Hessah Gardens,TVC / Advertising Campaigns,TVC,Director,Hessah Gardens,,0
2022,Weyay Bank,Weyay Bank,Music Videos,Music Video,Director / Producer,Weyay Bank,,13
2017,Ooredoo,Ooredoo,Music Videos,Music Video,Director,Ooredoo,,0
2023,Hardees,Hardee's,Music Videos,Music Video,Director,Hardee's,,1
2021,WOLF - EID ADHA,WOLF - Eid Al-Adha,Short Films,Short Film,Director,WOLF,,6
